,App,Category,Rating,Reviews,Size,Installs,Type,Price,Age_group,Genres,Last Updated,Current Ver,Android Ver
2248,Paramedic Protocol Provider,MEDICAL,4.5,171,20M,"10,000+",Paid,10.0,KIDS,Medical,21-Sep-17,1.8.3,4.1 and up
2249,MommyMeds,MEDICAL,3.2,45,21M,"5,000+",Paid,3.99,Everyone,Medical,15-Nov-17,2.0.1,6.0 and up
2250,Medical ID - In Case of Emergency (ICE),MEDICAL,4.6,717,5.4M,"5,000+",Paid,5.99,Everyone,Medical,31-May-18,6.5.0,5.0 and up
2251,Human Anatomy Atlas 2018: Complete 3D Human Body,MEDICAL,4.5,2921,25M,"100,000+",Paid,24.99,Everyone,Medical,25-May-18,2018.5.47,5.0 and up
2253,Vargo Anesthesia Mega App,MEDICAL,4.6,92,32M,"1,000+",Paid,79.99,Everyone,Medical,18-Jun-18,19,4.0.3 and up
2254,EMT Review Plus,MEDICAL,4.5,199,1.8M,"10,000+",Paid,11.99,Everyone,Medical,27-Jun-18,3.0.5,4.4W and up
2255,Muscle Trigger Point Anatomy,MEDICAL,4.4,1361,33M,"50,000+",Paid,2.99,Everyone,Medical,17-Jul-18,2.4.4,4.0.3 and up
2256,2017 EMRA Antibiotic Guide,MEDICAL,4.4,12,3.8M,"1,000+",Paid,16.99,Everyone,Medical,27-Jan-17,1.0.5,4.0.3 and up
2257,ASRA Coags,MEDICAL,4.4,15,5.8M,"1,000+",Paid,3.99,Everyone,Medical,1-Aug-18,2.1,4.1 and up
2258,IBM Micromedex Drug Info,MEDICAL,3.8,206,9.5M,"10,000+",Paid,2.99,Everyone,Medical,25-Apr-18,1.17.0,4.0 and up
2259,Diabetes & Diet Tracker,MEDICAL,4.6,395,19M,"1,000+",Paid,9.99,Everyone,Medical,16-Jul-18,6.5.1,5.0 and up
2260,VeinSeek,MEDICAL,2.5,79,Varies with device,"1,000+",Paid,3.99,Everyone,Medical,6-Dec-17,Varies with device,Varies with device
2261,Block Buddy,MEDICAL,4.0,15,5.0M,"1,000+",Paid,14.99,Everyone,Medical,1-Aug-18,7.6.14,4.0 and up
2262,Super Hearing Secret Voices Recorder PRO,MEDICAL,5.0,3,23M,100+,Paid,2.99,Everyone,Medical,20-Apr-18,1,4.1 and up
2263,EMT Study - NREMT Test Prep,MEDICAL,4.3,35,862k,"5,000+",Paid,3.99,Everyone,Medical,3-Dec-14,1.1,4.0.3 and up
2264,Calcium Pro,MEDICAL,3.4,77,9.9M,"5,000+",Paid,2.99,Everyone,Medical,18-Apr-17,1.6.2,4.0.3 and up
2265,Arrhythmias and Dysrhythmias,MEDICAL,,3,24M,500+,Paid,1.0,Everyone,Medical,24-Jan-16,1,4.2 and up
2266,EMT PASS,MEDICAL,3.4,51,2.4M,"1,000+",Paid,29.99,Everyone,Medical,22-Oct-14,2.0.2,4.0 and up
2267,Pocket Lab Values,MEDICAL,4.3,214,899k,"10,000+",Paid,2.99,Everyone,Medical,22-Nov-12,2.5,2.1 and up
2269,"Cardiac diagnosis (heart rate, arrhythmia)",MEDICAL,4.4,8,6.5M,100+,Paid,12.99,Everyone,Medical,25-Jul-18,7,3.0 and up
2270,ERres- Emergency Medicine,MEDICAL,4.2,45,14M,"1,000+",Paid,4.99,Everyone,Medical,18-Aug-15,6,4.0 and up
2271,FHR 5-Tier 2.0,MEDICAL,5.0,2,1.2M,500+,Paid,2.99,Everyone,Medical,16-Dec-15,1,4.0 and up
2272,AnatomyMapp,MEDICAL,4.1,80,48M,"5,000+",Paid,14.99,Everyone,Medical,5-Nov-13,1,3.0 and up
2273,OptoDrum,MEDICAL,3.9,10,378k,"1,000+",Paid,5.99,Everyone,Medical,26-May-15,1,3.0 and up
2274,"Migraine, Headache Diary HeadApp Pro",MEDICAL,4.6,156,22M,500+,Paid,3.49,Everyone,Medical,14-Mar-18,1.10.0.user.pro.release,4.4 and up
2276,Visual Anatomy 2,MEDICAL,4.4,576,Varies with device,"5,000+",Paid,2.49,Everyone,Medical,5-Aug-17,Varies with device,Varies with device
2277,"Muscle Premium - Human Anatomy, Kinesiology, Bones",MEDICAL,4.2,168,25M,"10,000+",Paid,24.99,Everyone,Medical,11-Aug-17,7.1.17,4.4 and up
2278,CCHT PREP,MEDICAL,3.6,25,266k,"1,000+",Paid,10.99,Everyone,Medical,8-Dec-16,1.2,2.1 and up
2279,Paramedic Meds,MEDICAL,4.5,163,375k,"10,000+",Paid,1.99,Everyone,Medical,3-Aug-15,3.4.3,1.6 and up
2280,Advanced Comprehension Therapy,MEDICAL,,3,62M,100+,Paid,24.99,Everyone,Medical,5-Oct-17,1.2,4.0.3 and up
2281,OmniMedix Medical Calculator,MEDICAL,4.7,25,1.2M,"1,000+",Paid,4.99,Everyone,Medical,11-Jun-16,3.1.6,3.0 and up
2282,Breathing Zone,MEDICAL,4.6,319,Varies with device,"5,000+",Paid,3.99,Everyone,Medical,6-Mar-18,Varies with device,Varies with device
2283,Lab Values + Medical Reference,MEDICAL,4.5,133,2.8M,"10,000+",Paid,2.99,Everyone,Medical,2-Aug-14,3,2.3 and up
2284,Recognise Foot,MEDICAL,4.2,9,95M,"1,000+",Paid,7.49,Everyone,Medical,14-Sep-17,1.0.3,4.1 and up
2285,Anti Mosquito simulation,MEDICAL,4.2,74,2.6M,"1,000+",Paid,1.5,Everyone,Medical,6-Sep-14,1,2.3.3 and up
2286,Pain Tracker & Diary,MEDICAL,4.3,3,4.6M,100+,Paid,2.99,Everyone,Medical,2-Jan-18,1.5,4.1 and up
2287,Menstrual Calendar Premium,MEDICAL,4.4,4207,Varies with device,"50,000+",Paid,3.99,Everyone,Medical,26-Jul-13,Varies with device,Varies with device
2288,Whist - Tinnitus Relief,MEDICAL,4.1,12,5.1M,"1,000+",Paid,1.99,Everyone,Medical,2-Mar-17,1.2,4.1 and up
2289,Critical Care Paramedic Review,MEDICAL,4.4,17,1.8M,"1,000+",Paid,9.99,KIDS,Medical,14-May-18,2.0.5,4.4W and up
2290,With Helper Pro Pill Reminder,MEDICAL,4.6,358,Varies with device,"5,000+",Paid,3.99,Everyone,Medical,25-Oct-17,Varies with device,Varies with device
2291,Manage My Pain Pro,MEDICAL,4.4,726,Varies with device,"5,000+",Paid,3.99,Everyone,Medical,5-Mar-18,Varies with device,Varies with device
2292,"End Anxiety Pro - Stress, Panic Attack Help",MEDICAL,4.2,33,53M,"1,000+",Paid,3.99,Everyone,Medical,8-May-18,2.29,4.2 and up
2293,Acupuncture Assistant,MEDICAL,4.5,492,39M,"10,000+",Paid,7.99,Everyone,Medical,13-Apr-18,4.4.5,4.1 and up
2294,Number Therapy,MEDICAL,,0,5.3M,50+,Paid,14.99,Everyone,Medical,3-Oct-17,1,4.0.3 and up
2295,InfantRisk Center HCP,MEDICAL,2.6,41,14M,"1,000+",Paid,9.99,Everyone,Medical,6-May-15,1.3.4,2.3.3 and up
2296,EMT Tutor NREMT-B Study Guide,MEDICAL,4.6,625,8.4M,"10,000+",Paid,3.99,Everyone,Medical,8-Jan-17,2.1,2.1 and up
2297,Hospitalist Handbook,MEDICAL,4.8,12,18M,"1,000+",Paid,19.99,Everyone,Medical,5-Jun-17,6.0.4,4.1 and up
2298,PTA Content Master,MEDICAL,4.2,64,41M,"1,000+",Paid,29.99,Everyone,Medical,22-Dec-15,2.1,2.2 and up
2299,Navi Radiography Pro,MEDICAL,4.7,11,100M,500+,Paid,15.99,Everyone,Medical,14-Jan-18,1.2.0,4.0.3 and up
2301,A Manual of Acupuncture,MEDICAL,3.5,214,68M,"1,000+",Paid,33.99,Everyone,Medical,2-Oct-17,2.1.35,4.0 and up
2365,Vargo Anesthesia Mega App,MEDICAL,4.6,92,32M,"1,000+",Paid,79.99,Everyone,Medical,18-Jun-18,19,4.0.3 and up
2366,Monash Uni Low FODMAP Diet,MEDICAL,4.2,1135,12M,"100,000+",Paid,9.0,Everyone,Medical,16-Jul-18,2.0.7,4.0 and up
2372,Human Anatomy Atlas 2018: Complete 3D Human Body,MEDICAL,4.5,2921,25M,"100,000+",Paid,24.99,Everyone,Medical,25-May-18,2018.5.47,5.0 and up
2378,ASCCP Mobile,MEDICAL,4.5,63,25M,"10,000+",Paid,9.99,Everyone,Medical,3-Oct-16,2.1.1,2.2 and up
2380,Paramedic Protocol Provider,MEDICAL,4.5,171,20M,"10,000+",Paid,10.0,KIDS,Medical,21-Sep-17,1.8.3,4.1 and up
2385,2017 EMRA Antibiotic Guide,MEDICAL,4.4,12,3.8M,"1,000+",Paid,16.99,Everyone,Medical,27-Jan-17,1.0.5,4.0.3 and up
2387,EMT PASS,MEDICAL,3.4,51,2.4M,"1,000+",Paid,29.99,Everyone,Medical,22-Oct-14,2.0.2,4.0 and up
2389,Block Buddy,MEDICAL,4.0,15,5.0M,"1,000+",Paid,14.99,Everyone,Medical,1-Aug-18,7.6.14,4.0 and up
2390,Language Therapy: Aphasia,MEDICAL,,10,28M,"1,000+",Paid,74.99,Everyone,Medical,25-Jun-18,3.1.1,4.0.3 and up
2395,EMT Review Plus,MEDICAL,4.5,199,1.8M,"10,000+",Paid,11.99,Everyone,Medical,27-Jun-18,3.0.5,4.4W and up
2398,Journal Club: Medicine,MEDICAL,4.8,216,Varies with device,"10,000+",Paid,6.99,Everyone,Medical,17-Jun-17,Varies with device,Varies with device
2399,Pedi STAT,MEDICAL,4.6,129,2.9M,"10,000+",Paid,5.49,Everyone,Medical,6-Apr-18,3.0.1.0,4.1 and up
2400,AnatomyMapp,MEDICAL,4.1,80,48M,"5,000+",Paid,14.99,Everyone,Medical,5-Nov-13,1,3.0 and up
2401,Diabetes & Diet Tracker,MEDICAL,4.6,395,19M,"1,000+",Paid,9.99,Everyone,Medical,16-Jul-18,6.5.1,5.0 and up
2402,A Manual of Acupuncture,MEDICAL,3.5,214,68M,"1,000+",Paid,33.99,Everyone,Medical,2-Oct-17,2.1.35,4.0 and up
2406,PTA Content Master,MEDICAL,4.2,64,41M,"1,000+",Paid,29.99,Everyone,Medical,22-Dec-15,2.1,2.2 and up
2407,"Muscle Premium - Human Anatomy, Kinesiology, Bones",MEDICAL,4.2,168,25M,"10,000+",Paid,24.99,Everyone,Medical,11-Aug-17,7.1.17,4.4 and up
2409,"Cardiac diagnosis (heart rate, arrhythmia)",MEDICAL,4.4,8,6.5M,100+,Paid,12.99,Everyone,Medical,25-Jul-18,7,3.0 and up
2414,LTC AS Legal,MEDICAL,4.0,6,1.3M,100+,Paid,39.99,Everyone,Medical,4-Apr-18,3.0.1,4.1 and up
2416,Medical ID - In Case of Emergency (ICE),MEDICAL,4.6,717,5.4M,"5,000+",Paid,5.99,Everyone,Medical,31-May-18,6.5.0,5.0 and up
2418,IBM Micromedex Drug Info,MEDICAL,3.8,206,9.5M,"10,000+",Paid,2.99,Everyone,Medical,25-Apr-18,1.17.0,4.0 and up
2419,Advanced Comprehension Therapy,MEDICAL,,3,62M,100+,Paid,24.99,Everyone,Medical,5-Oct-17,1.2,4.0.3 and up
2420,Hospitalist Handbook,MEDICAL,4.8,12,18M,"1,000+",Paid,19.99,Everyone,Medical,5-Jun-17,6.0.4,4.1 and up
2422,Visualmed,MEDICAL,,0,3.1M,1+,Paid,2.99,Everyone,Medical,1-Aug-18,1,4.1 and up
2424,OrthoFlow,MEDICAL,,0,66M,10+,Paid,5.99,Everyone,Medical,15-Jul-18,1.0.0,4.2 and up
2883,Facetune - For Free,PHOTOGRAPHY,4.4,49553,48M,"1,000,000+",Paid,5.99,Everyone,Photography,25-Jul-18,1.3.1,4.1 and up
2906,Lapse It • Time Lapse • Pro,PHOTOGRAPHY,4.3,12865,6.9M,"100,000+",Paid,2.99,Everyone,Photography,6-Nov-14,4.7,2.2 and up
2912,Facetune - For Free,PHOTOGRAPHY,4.4,49553,48M,"1,000,000+",Paid,5.99,Everyone,Photography,25-Jul-18,1.3.1,4.1 and up
2913,Camera FV-5,PHOTOGRAPHY,3.8,16320,Varies with device,"100,000+",Paid,3.95,Everyone,Photography,10-Nov-17,Varies with device,Varies with device
2950,Facetune - For Free,PHOTOGRAPHY,4.4,49553,48M,"1,000,000+",Paid,5.99,Everyone,Photography,25-Jul-18,1.3.1,4.1 and up
3039,Golfshot Plus: Golf GPS,SPORTS,4.1,3387,25M,"50,000+",Paid,29.99,Everyone,Sports,11-Jul-18,4.18.0,4.1 and up
3403,Beautiful Widgets Pro,PERSONALIZATION,4.2,97890,14M,"1,000,000+",Paid,2.49,Everyone,Personalization,24-Aug-16,5.7.8,2.3 and up
3441,BIG Launcher,PERSONALIZATION,4.3,881,5.9M,"10,000+",Paid,9.99,Everyone,Personalization,20-Jun-18,2.5.9,2.1 and up
3442,Smart Launcher Pro 3,PERSONALIZATION,4.6,40704,Varies with device,"100,000+",Paid,4.49,Everyone,Personalization,16-Mar-18,Varies with device,Varies with device
3564,aCalendar+ Calendar & Tasks,PRODUCTIVITY,4.6,26919,Varies with device,"100,000+",Paid,5.99,Everyone,Productivity,25-Jun-18,Varies with device,Varies with device
3658,Weather Live Pro,WEATHER,4.8,17493,11M,"100,000+",Paid,4.49,Everyone,Weather,20-Apr-18,1.3,4.4 and up
3957,ADS-B Driver,TOOLS,5.0,2,6.3M,100+,Paid,1.99,Everyone,Tools,15-May-18,1.19,4.4 and up
3959,B-17 Flying Fortress WWII LWP,PERSONALIZATION,,7,14M,100+,Paid,1.49,Everyone,Personalization,22-Dec-16,1,4.1 and up
3964,Smart Launcher theme b. gold,PERSONALIZATION,4.1,291,35M,"5,000+",Paid,1.99,Everyone,Personalization,22-Oct-16,2.2,2.0 and up
3965,EMT Tutor NREMT-B Study Guide,MEDICAL,4.6,625,8.4M,"10,000+",Paid,3.99,Everyone,Medical,8-Jan-17,2.1,2.1 and up
3966,Next Launcher 3D Theme Hit-B,PERSONALIZATION,4.4,83,8.6M,"1,000+",Paid,1.7,Everyone,Personalization,16-Aug-15,1.05,2.2 and up
3993,C4droid - C/C++ compiler & IDE,FAMILY,4.7,2890,Varies with device,"50,000+",Paid,2.99,Everyone,Education,26-Aug-17,Varies with device,Varies with device
3997,C Locker Pro,PERSONALIZATION,4.2,1531,7.7M,"10,000+",Paid,2.99,Everyone,Personalization,5-Dec-17,8.3.4,4.1 and up
4057,Mind Games Pro,FAMILY,4.6,15301,18M,"100,000+",Paid,2.99,Everyone,Puzzle;Brain Games,18-Jul-18,3.0.5,2.3 and up
4085,Maps & GPS Navigation OsmAnd+,TRAVEL_AND_LOCAL,4.3,15209,Varies with device,"100,000+",Paid,8.99,Everyone,Travel & Local,1-Aug-18,Varies with device,Varies with device
4108,F-Stop Gallery Pro,PHOTOGRAPHY,4.4,1302,58k,"10,000+",Paid,4.99,Everyone,Photography,5-Aug-15,3.2,2.2 and up
4127,Speech Therapy: F,FAMILY,1.0,1,16M,10+,Paid,2.99,Everyone,Education,7-Oct-16,1,2.3.3 and up
4132,F-Sim Space Shuttle,FAMILY,4.4,5427,Varies with device,"100,000+",Paid,4.99,Everyone,Simulation,28-Jan-14,Varies with device,Varies with device
4133,Weather Live,WEATHER,4.5,76593,Varies with device,"500,000+",Paid,5.99,Everyone,Weather,21-Nov-17,Varies with device,Varies with device
4134,Norwegian For Kids & Babies F,FAMILY,,0,14M,5+,Paid,39.99,Everyone,Education,24-Sep-15,1,4.0 and up
4137,F-1 watchface by Delta,PERSONALIZATION,,0,Varies with device,10+,Paid,2.49,Everyone,Personalization,23-Aug-17,Varies with device,Varies with device
4139,F Length Sim (no Ads),PHOTOGRAPHY,,0,1.7M,10+,Paid,2.0,Everyone,Photography,29-Apr-18,1,4.0.3 and up
4140,Arto: f.infrared photo,PHOTOGRAPHY,4.1,41,11M,500+,Paid,1.49,Everyone,Photography,19-Jul-16,3.1,4.4 and up
4156,G Cloud Apps Backup Key * root,TOOLS,4.5,1034,196k,"5,000+",Paid,4.99,Everyone,Tools,8-Sep-13,1.1,2.2 and up
4158,Next Launcher 3D Theme Hit-G,PERSONALIZATION,4.2,59,8.1M,"1,000+",Paid,1.7,Everyone,Personalization,16-Aug-15,1.05,2.2 and up
4161,G-Playlists,TOOLS,1.8,53,3.4M,"1,000+",Paid,1.49,Everyone,Tools,19-May-18,1.91,4.0.3 and up
4165,Ramfer - CNC Lathe G-code Tool,PRODUCTIVITY,3.4,5,11M,100+,Paid,2.99,Everyone,Productivity,26-Sep-16,2,3.2 and up
4166,G-Force Driving Assistant,SPORTS,4.6,10,6.1M,100+,Paid,3.88,Everyone,Sports,10-Apr-13,1,2.3.3 and up
4172,G-NetTrack Pro,TOOLS,4.3,255,1.6M,"5,000+",Paid,14.99,Everyone,Tools,25-Jul-18,14.6,4.0 and up
4173,"G Theme 2 for LG V30, LG G6",PERSONALIZATION,4.3,25,15M,500+,Paid,1.49,Everyone,Personalization,13-Dec-17,1.0.2,7.0 and up
4177,G-NetReport Pro,TOOLS,,0,1.6M,10+,Paid,25.99,Everyone,Tools,14-Jun-18,5,4.0 and up
4178,Dialer theme G Black Gold,PERSONALIZATION,4.2,33,857k,500+,Paid,1.49,Everyone,Personalization,1-Jan-16,2,4.0 and up
4181,G-NetWiFi Pro,TOOLS,3.3,6,1.5M,100+,Paid,5.99,Everyone,Tools,18-Jun-18,3.2,4.0 and up
4192,Deaf - Hearing chat device H,COMMUNICATION,4.4,9,51k,500+,Paid,3.99,Everyone,Communication,8-Feb-17,3.6,2.2 and up
4197,most expensive app (H),FAMILY,4.3,6,1.5M,100+,Paid,399.99,Everyone,Entertainment,16-Jul-18,1,7.0 and up
4203,The World Ends With You,GAME,4.6,4108,13M,"10,000+",Paid,17.99,KIDS,Arcade,14-Dec-15,1.0.4,4.0 and up
4216,Ulysse Speedometer Pro,AUTO_AND_VEHICLES,4.6,4140,Varies with device,"50,000+",Paid,1.99,Everyone,Auto & Vehicles,13-May-18,Varies with device,Varies with device
4265,J Alvarej Moji,COMMUNICATION,,2,13M,10+,Paid,1.99,Everyone,Communication,3-May-17,1,3.2 and up
4282,K-@ Mail Pro - Email App,COMMUNICATION,4.2,1603,Varies with device,"10,000+",Paid,4.99,Everyone,Communication,23-Jul-16,Varies with device,Varies with device
4293,K.MOJI,FAMILY,4.8,16,8.9M,500+,Paid,1.99,Everyone,Entertainment,9-May-17,1,4.2 and up
4299,Math Games for Pre-K - Grade 4,FAMILY,4.6,28,23M,"1,000+",Paid,1.99,Everyone,Education;Education,13-Jan-14,1.02,2.2 and up
4301,Fuzzy Numbers: Pre-K Number Foundation,FAMILY,4.7,21,44M,"1,000+",Paid,5.99,Everyone,Education;Education,21-Jul-17,1.3,4.1 and up
