,App,Category,Rating,Reviews,Size,Installs,Type,Price,Age_group,Genres,Last Updated,Current Ver,Android Ver
83,DG Surveyor,BUSINESS,3.6,5,6.8M,50+,Paid,8.99,Everyone,Business,30-Apr-18,6,4.0.3 and up
84,The DG Buddy,BUSINESS,3.7,3,11M,10+,Paid,2.49,Everyone,Business,30-Jun-14,v3,2.2 and up
85,DS Helpdesk Plus,BUSINESS,3.6,21,Varies with device,100+,Paid,12.99,Everyone,Business,30-Jan-17,Varies with device,Varies with device
86,Lean EQ,BUSINESS,,6,10M,10+,Paid,89.99,Everyone,Business,14-Feb-17,1,4.1 and up
87,Sago Mini Hat Maker,EDUCATION,4.9,11,63M,"1,000+",Paid,3.99,Everyone,Education;Pretend Play,24-Jul-17,1,4.0.3 and up
88,Fuzzy Numbers: Pre-K Number Foundation,EDUCATION,4.7,21,44M,"1,000+",Paid,5.99,Everyone,Education;Education,21-Jul-17,1.3,4.1 and up
89,Toca Life: City,EDUCATION,4.7,31085,24M,"500,000+",Paid,3.99,Everyone,Education;Pretend Play,6-Jul-18,1.5-play,4.4 and up
90,Toca Life: Hospital,EDUCATION,4.7,3528,24M,"100,000+",Paid,3.99,Everyone,Education;Pretend Play,12-Jun-18,1.1.1-play,4.4 and up
92,Toca Mystery House,FAMILY,4.2,96,79M,"5,000+",Paid,3.99,Everyone,Educational;Creativity,14-Jun-18,1.0.1,4.4 and up
93,My Little Princess : Stores,FAMILY,4.3,169,60M,"5,000+",Paid,2.99,Everyone,Educational;Pretend Play,25-May-18,1.08,4.1 and up
94,Sago Mini Big City,FAMILY,4.2,8,44M,"1,000+",Paid,3.99,Everyone,Education;Pretend Play,9-Jul-18,1.1,4.4 and up
95,Pinkalicious Party,FAMILY,3.0,2,82M,500+,Paid,2.99,Everyone,Educational;Creativity,25-Jun-18,1.5.0,4.1 and up
96,Toca Builders,FAMILY,4.2,3328,Varies with device,"100,000+",Paid,3.99,Everyone,Education;Creativity,13-Jul-17,Varies with device,Varies with device
97,Toca Life: City,FAMILY,4.7,31100,24M,"500,000+",Paid,3.99,Everyone,Education;Pretend Play,6-Jul-18,1.5-play,4.4 and up
98,My Little Work – Garage,FAMILY,4.3,560,44M,"10,000+",Paid,3.99,Everyone,Casual;Education,17-Jun-15,2.0.1,2.3 and up
99,Children Educational Game Full,FAMILY,4.7,30,Varies with device,"1,000+",Paid,7.49,Everyone,Educational;Education,16-May-18,Varies with device,Varies with device
100,Avokiddo Emotions,FAMILY,4.6,73,12M,"1,000+",Paid,2.99,Everyone,Education;Pretend Play,21-May-18,1.7.0,4.0.3 and up
102,Sago Mini Babies,FAMILY,4.5,253,83M,"10,000+",Paid,3.99,Everyone,Education;Pretend Play,28-Oct-16,1.1,4.0.3 and up
106,C4droid - C/C++ compiler & IDE,FAMILY,4.7,2890,Varies with device,"50,000+",Paid,2.99,Everyone,Education,26-Aug-17,Varies with device,Varies with device
107,Speech Therapy: F,FAMILY,1.0,1,16M,10+,Paid,2.99,Everyone,Education,7-Oct-16,1,2.3.3 and up
108,Norwegian For Kids & Babies F,FAMILY,,0,14M,5+,Paid,39.99,Everyone,Education,24-Sep-15,1,4.0 and up
109,Math Games for Pre-K - Grade 4,FAMILY,4.6,28,23M,"1,000+",Paid,1.99,Everyone,Education;Education,13-Jan-14,1.02,2.2 and up
110,Fuzzy Numbers: Pre-K Number Foundation,FAMILY,4.7,21,44M,"1,000+",Paid,5.99,Everyone,Education;Education,21-Jul-17,1.3,4.1 and up
111,R Instructor,FAMILY,4.1,135,4.9M,"1,000+",Paid,4.84,Everyone,Education,21-Feb-14,2.03,3.0 and up
112,Math games for kids : times tables training,FAMILY,4.5,630,8.3M,"10,000+",Paid,1.59,Everyone,Educational;Education,27-Jul-18,3.9.3,4.0.3 and up
113,Hey AJ! It's Bedtime!,FAMILY,5.0,1,63M,10+,Paid,4.99,Everyone,Education,4-Apr-18,1.0.59,2.3 and up
114,AP Government Review,FAMILY,4.7,3,1.5M,"1,000+",Paid,2.99,Everyone,Education,14-Mar-17,1.1,4.0.3 and up
115,500 AP World History Questions,FAMILY,4.7,7,1.2M,100+,Paid,9.99,Everyone,Education,1-Nov-13,1.2,1.6 and up
116,iScore5 AP Psych,FAMILY,2.9,10,73M,100+,Paid,4.99,Everyone,Educational,25-Apr-17,2,4.0.3 and up
117,meStudying: AP English Lit,FAMILY,5.0,1,655k,10+,Paid,4.99,Everyone,Education,31-Aug-13,1.3,2.0.1 and up
118,AP Series Solution Pro,FAMILY,,0,7.4M,0+,Paid,1.99,Everyone,Education,30-Jul-17,1.3,4.0 and up
119,AQ Math Facts,FAMILY,,1,16M,1+,Paid,2.99,Everyone,Educational,17-May-17,1.0.3,4.0 and up
120,¡Ay Caramba!,FAMILY,,0,549k,1+,Paid,1.99,Everyone,Education,13-Jun-14,1.2,3.0 and up
121,Alif Ba Ta Bullseye,FAMILY,,1,16M,5+,Paid,1.99,Everyone,Educational,30-May-16,1.1,2.2 and up
122,Learn Quran with Elif Ba,FAMILY,,3,12M,100+,Paid,1.49,Everyone,Education,3-Mar-17,1.2,2.3 and up
123,Ain Arabic Kids Alif Ba ta,FAMILY,,0,33M,0+,Paid,2.99,Everyone,Education,15-Apr-16,1,3.0 and up
124,Car Driving Theory Test BC,FAMILY,,0,2.2M,10+,Paid,1.49,Everyone,Education,9-Apr-12,1,2.1 and up
125,Truck Driving Test Class 3 BC,FAMILY,1.0,1,2.0M,50+,Paid,1.49,Everyone,Education,9-Apr-12,1,2.1 and up
126,CSCS BG (в български),FAMILY,2.4,7,2.1M,100+,Paid,3.99,Everyone,Education,23-Mar-17,1,4.0.3 and up
127,Phonics Puzzles,FAMILY,3.8,4,54M,100+,Paid,2.99,Everyone,Educational,27-Aug-16,1.8.2,2.3 and up
128,Beck & Bo: Toddler First Words,FAMILY,4.3,41,7.9M,"1,000+",Paid,2.99,Everyone,Education;Pretend Play,31-May-18,2.4.2,4.0.3 and up
129,Bo's Bedtime Story,FAMILY,4.2,13,23M,"1,000+",Paid,2.49,Everyone,Education;Pretend Play,25-Dec-17,2.6,4.0.3 and up
130,Bo's Dinnertime Story,FAMILY,4.3,6,33M,"1,000+",Paid,2.49,Everyone,Education;Pretend Play,25-Dec-17,1.5,4.0.3 and up
131,Bo's School Day,FAMILY,4.7,10,30M,"1,000+",Paid,2.99,Everyone,Education;Pretend Play,18-Dec-17,1.3,4.0.3 and up
132,TI-84 CE Graphing Calculator Manual TI 84,FAMILY,5.0,1,27M,100+,Paid,4.99,Everyone,Education,28-Mar-18,1.5.2,4.1 and up
133,AC CE BJT Actorial,FAMILY,,1,1.4M,50+,Paid,2.0,Everyone,Education,27-Sep-15,2.4,1.6 and up
134,"Führerschein Klasse CE, LKW 2018",FAMILY,,57,Varies with device,"1,000+",Paid,2.49,Everyone,Education,9-Apr-18,4.2.0,Varies with device
135,"Reading Race 1b: sh, ch words",FAMILY,,2,76M,50+,Paid,3.99,Everyone,Educational;Education,8-Jan-16,1.01,4.0 and up
136,Speech Therapy: CH,FAMILY,,0,14M,10+,Paid,1.99,Everyone,Education,8-Oct-16,1,2.3.3 and up
137,boattheory.ch Full 2018,FAMILY,4.7,54,50M,"1,000+",Paid,19.4,Everyone,Education,18-Nov-17,3.1.2,4.2 and up
138,USMLE Step 2 CK Flashcards,FAMILY,5.0,1,40M,10+,Paid,19.99,Everyone,Education,26-May-14,2.47,2.2 and up
139,Morse Player,FAMILY,5.0,12,2.4M,100+,Paid,1.99,Everyone,Education,23-Jan-17,2.1.1,3.0 and up
140,30WPM Amateur ham radio Koch CW Morse code trainer,FAMILY,5.0,1,3.7M,10+,Paid,1.49,Everyone,Education,18-May-18,2.0.2,2.1 and up
141,Learn CW,FAMILY,,0,21M,1+,Paid,2.49,Everyone,Education,6-Apr-18,1.1,4.3 and up
142,TI-Nspire CX Calculator Manual,FAMILY,3.9,11,27M,500+,Paid,4.99,Everyone,Education,21-Jul-18,1.3.0,4.1 and up
143,go41cx,FAMILY,4.8,171,1.0M,"1,000+",Paid,10.0,Everyone,Education,18-Oct-16,1.7.0,2.2 and up
144,King of Math,FAMILY,4.4,766,14M,"10,000+",Paid,2.99,Everyone,Education;Education,22-May-18,1.0.11,2.2 and up
145,Peppa Pig: Party Time,FAMILY,3.8,52,55M,"10,000+",Paid,2.99,Everyone,Educational;Pretend Play,8-Aug-17,1.2.1,2.3 and up
146,Writing Wizard Premium - Handwriting,FAMILY,4.1,89,33M,"5,000+",Paid,4.49,Everyone,Education;Education,3-Dec-17,2.5.0,4.0.3 and up
147,Dr. Panda Farm,FAMILY,4.1,265,46M,"10,000+",Paid,2.99,Everyone,Education;Pretend Play,21-Jul-16,1,4.0 and up
148,Dr. Panda Art Class,FAMILY,4.2,1013,58M,"50,000+",Paid,2.99,Everyone,Education;Creativity,26-Apr-17,1.7,4.0 and up
149,Dr. Seuss's ABC,FAMILY,4.7,429,12M,"10,000+",Paid,3.99,Everyone,Books & Reference;Education,26-Feb-18,2.05,4.0.3 and up
150,Dr. Panda Hospital,FAMILY,4.4,1091,45M,"50,000+",Paid,2.99,Everyone,Education;Pretend Play,5-Dec-13,1.6,2.0.1 and up
151,Dr. Panda Restaurant 2,FAMILY,4.3,3725,67M,"100,000+",Paid,2.99,Everyone,Educational;Pretend Play,17-Feb-16,1.96,4.0 and up
152,Dr. Panda Supermarket,FAMILY,4.2,1357,58M,"50,000+",Paid,2.99,Everyone,Educational;Pretend Play,16-Feb-16,1.6,4.0 and up
153,EG Classroom Decimals™,FAMILY,3.0,2,18M,50+,Paid,2.99,Everyone,Education;Education,12-Jun-17,2.2.2,2.2 and up
154,Farming Simulator 16,FAMILY,4.2,32812,14M,"500,000+",Paid,2.99,Everyone,Simulation;Education,10-Apr-18,1.1.1.6,4.0.3 and up
155,Masha and the Bear- House Cleaning Games for Girls,FAMILY,,0,74M,100+,Paid,1.99,Everyone,Educational;Pretend Play,25-Jan-18,0.0.1,4.1 and up
156,Masha and the Bear - Hair Salon and MakeUp Games,FAMILY,,1,83M,100+,Paid,2.49,Everyone,Role Playing;Education,5-Mar-18,1.0.1,4.1 and up
157,EP McGuffey Primer,FAMILY,,0,Varies with device,50+,Paid,1.99,Everyone,Education,16-Jul-18,Varies with device,Varies with device
158,Monash Uni Low FODMAP Diet,MEDICAL,4.2,1135,12M,"100,000+",Paid,9.0,Everyone,Medical,16-Jul-18,2.0.7,4.0 and up
159,Pedi STAT,MEDICAL,4.6,129,2.9M,"10,000+",Paid,5.49,Everyone,Medical,6-Apr-18,3.0.1.0,4.1 and up
160,ASCCP Mobile,MEDICAL,4.5,63,25M,"10,000+",Paid,9.99,Everyone,Medical,3-Oct-16,2.1.1,2.2 and up
161,Journal Club: Medicine,MEDICAL,4.8,216,Varies with device,"10,000+",Paid,6.99,Everyone,Medical,17-Jun-17,Varies with device,Varies with device
163,MommyMeds,MEDICAL,3.2,45,21M,"5,000+",Paid,3.99,Everyone,Medical,15-Nov-17,2.0.1,6.0 and up
164,Medical ID - In Case of Emergency (ICE),MEDICAL,4.6,717,5.4M,"5,000+",Paid,5.99,Everyone,Medical,31-May-18,6.5.0,5.0 and up
165,Human Anatomy Atlas 2018: Complete 3D Human Body,MEDICAL,4.5,2921,25M,"100,000+",Paid,24.99,Everyone,Medical,25-May-18,2018.5.47,5.0 and up
166,Vargo Anesthesia Mega App,MEDICAL,4.6,92,32M,"1,000+",Paid,79.99,Everyone,Medical,18-Jun-18,19,4.0.3 and up
167,EMT Review Plus,MEDICAL,4.5,199,1.8M,"10,000+",Paid,11.99,Everyone,Medical,27-Jun-18,3.0.5,4.4W and up
168,Muscle Trigger Point Anatomy,MEDICAL,4.4,1361,33M,"50,000+",Paid,2.99,Everyone,Medical,17-Jul-18,2.4.4,4.0.3 and up
169,2017 EMRA Antibiotic Guide,MEDICAL,4.4,12,3.8M,"1,000+",Paid,16.99,Everyone,Medical,27-Jan-17,1.0.5,4.0.3 and up
170,ASRA Coags,MEDICAL,4.4,15,5.8M,"1,000+",Paid,3.99,Everyone,Medical,1-Aug-18,2.1,4.1 and up
171,IBM Micromedex Drug Info,MEDICAL,3.8,206,9.5M,"10,000+",Paid,2.99,Everyone,Medical,25-Apr-18,1.17.0,4.0 and up
172,Diabetes & Diet Tracker,MEDICAL,4.6,395,19M,"1,000+",Paid,9.99,Everyone,Medical,16-Jul-18,6.5.1,5.0 and up
173,VeinSeek,MEDICAL,2.5,79,Varies with device,"1,000+",Paid,3.99,Everyone,Medical,6-Dec-17,Varies with device,Varies with device
174,Block Buddy,MEDICAL,4.0,15,5.0M,"1,000+",Paid,14.99,Everyone,Medical,1-Aug-18,7.6.14,4.0 and up
175,Super Hearing Secret Voices Recorder PRO,MEDICAL,5.0,3,23M,100+,Paid,2.99,Everyone,Medical,20-Apr-18,1,4.1 and up
176,EMT Study - NREMT Test Prep,MEDICAL,4.3,35,862k,"5,000+",Paid,3.99,Everyone,Medical,3-Dec-14,1.1,4.0.3 and up
177,Calcium Pro,MEDICAL,3.4,77,9.9M,"5,000+",Paid,2.99,Everyone,Medical,18-Apr-17,1.6.2,4.0.3 and up
178,Arrhythmias and Dysrhythmias,MEDICAL,,3,24M,500+,Paid,1.0,Everyone,Medical,24-Jan-16,1,4.2 and up
179,EMT PASS,MEDICAL,3.4,51,2.4M,"1,000+",Paid,29.99,Everyone,Medical,22-Oct-14,2.0.2,4.0 and up
180,Pocket Lab Values,MEDICAL,4.3,214,899k,"10,000+",Paid,2.99,Everyone,Medical,22-Nov-12,2.5,2.1 and up
181,"Cardiac diagnosis (heart rate, arrhythmia)",MEDICAL,4.4,8,6.5M,100+,Paid,12.99,Everyone,Medical,25-Jul-18,7,3.0 and up
182,ERres- Emergency Medicine,MEDICAL,4.2,45,14M,"1,000+",Paid,4.99,Everyone,Medical,18-Aug-15,6,4.0 and up
183,FHR 5-Tier 2.0,MEDICAL,5.0,2,1.2M,500+,Paid,2.99,Everyone,Medical,16-Dec-15,1,4.0 and up
184,AnatomyMapp,MEDICAL,4.1,80,48M,"5,000+",Paid,14.99,Everyone,Medical,5-Nov-13,1,3.0 and up
185,OptoDrum,MEDICAL,3.9,10,378k,"1,000+",Paid,5.99,Everyone,Medical,26-May-15,1,3.0 and up
186,"Migraine, Headache Diary HeadApp Pro",MEDICAL,4.6,156,22M,500+,Paid,3.49,Everyone,Medical,14-Mar-18,1.10.0.user.pro.release,4.4 and up
187,Visual Anatomy 2,MEDICAL,4.4,576,Varies with device,"5,000+",Paid,2.49,Everyone,Medical,5-Aug-17,Varies with device,Varies with device
188,"Muscle Premium - Human Anatomy, Kinesiology, Bones",MEDICAL,4.2,168,25M,"10,000+",Paid,24.99,Everyone,Medical,11-Aug-17,7.1.17,4.4 and up
189,CCHT PREP,MEDICAL,3.6,25,266k,"1,000+",Paid,10.99,Everyone,Medical,8-Dec-16,1.2,2.1 and up
190,Paramedic Meds,MEDICAL,4.5,163,375k,"10,000+",Paid,1.99,Everyone,Medical,3-Aug-15,3.4.3,1.6 and up
191,Advanced Comprehension Therapy,MEDICAL,,3,62M,100+,Paid,24.99,Everyone,Medical,5-Oct-17,1.2,4.0.3 and up
192,OmniMedix Medical Calculator,MEDICAL,4.7,25,1.2M,"1,000+",Paid,4.99,Everyone,Medical,11-Jun-16,3.1.6,3.0 and up
193,Breathing Zone,MEDICAL,4.6,319,Varies with device,"5,000+",Paid,3.99,Everyone,Medical,6-Mar-18,Varies with device,Varies with device
194,Lab Values + Medical Reference,MEDICAL,4.5,133,2.8M,"10,000+",Paid,2.99,Everyone,Medical,2-Aug-14,3,2.3 and up
195,Recognise Foot,MEDICAL,4.2,9,95M,"1,000+",Paid,7.49,Everyone,Medical,14-Sep-17,1.0.3,4.1 and up
196,Anti Mosquito simulation,MEDICAL,4.2,74,2.6M,"1,000+",Paid,1.5,Everyone,Medical,6-Sep-14,1,2.3.3 and up
197,Pain Tracker & Diary,MEDICAL,4.3,3,4.6M,100+,Paid,2.99,Everyone,Medical,2-Jan-18,1.5,4.1 and up
198,Menstrual Calendar Premium,MEDICAL,4.4,4207,Varies with device,"50,000+",Paid,3.99,Everyone,Medical,26-Jul-13,Varies with device,Varies with device
199,Whist - Tinnitus Relief,MEDICAL,4.1,12,5.1M,"1,000+",Paid,1.99,Everyone,Medical,2-Mar-17,1.2,4.1 and up
201,With Helper Pro Pill Reminder,MEDICAL,4.6,358,Varies with device,"5,000+",Paid,3.99,Everyone,Medical,25-Oct-17,Varies with device,Varies with device
202,Manage My Pain Pro,MEDICAL,4.4,726,Varies with device,"5,000+",Paid,3.99,Everyone,Medical,5-Mar-18,Varies with device,Varies with device
203,"End Anxiety Pro - Stress, Panic Attack Help",MEDICAL,4.2,33,53M,"1,000+",Paid,3.99,Everyone,Medical,8-May-18,2.29,4.2 and up
204,Acupuncture Assistant,MEDICAL,4.5,492,39M,"10,000+",Paid,7.99,Everyone,Medical,13-Apr-18,4.4.5,4.1 and up
205,Number Therapy,MEDICAL,,0,5.3M,50+,Paid,14.99,Everyone,Medical,3-Oct-17,1,4.0.3 and up
206,InfantRisk Center HCP,MEDICAL,2.6,41,14M,"1,000+",Paid,9.99,Everyone,Medical,6-May-15,1.3.4,2.3.3 and up
207,EMT Tutor NREMT-B Study Guide,MEDICAL,4.6,625,8.4M,"10,000+",Paid,3.99,Everyone,Medical,8-Jan-17,2.1,2.1 and up
208,Hospitalist Handbook,MEDICAL,4.8,12,18M,"1,000+",Paid,19.99,Everyone,Medical,5-Jun-17,6.0.4,4.1 and up
209,PTA Content Master,MEDICAL,4.2,64,41M,"1,000+",Paid,29.99,Everyone,Medical,22-Dec-15,2.1,2.2 and up
210,Navi Radiography Pro,MEDICAL,4.7,11,100M,500+,Paid,15.99,Everyone,Medical,14-Jan-18,1.2.0,4.0.3 and up
211,A Manual of Acupuncture,MEDICAL,3.5,214,68M,"1,000+",Paid,33.99,Everyone,Medical,2-Oct-17,2.1.35,4.0 and up
220,Language Therapy: Aphasia,MEDICAL,,10,28M,"1,000+",Paid,74.99,Everyone,Medical,25-Jun-18,3.1.1,4.0.3 and up
230,LTC AS Legal,MEDICAL,4.0,6,1.3M,100+,Paid,39.99,Everyone,Medical,4-Apr-18,3.0.1,4.1 and up
235,Visualmed,MEDICAL,,0,3.1M,1+,Paid,2.99,Everyone,Medical,1-Aug-18,1,4.1 and up
236,OrthoFlow,MEDICAL,,0,66M,10+,Paid,5.99,Everyone,Medical,15-Jul-18,1.0.0,4.2 and up
238,Cardio Z,MEDICAL,,24,10M,100+,Paid,5.99,Everyone,Medical,13-Mar-17,1.0.2.1,4.4 and up
